"","class","gene_id","Function.classification","function.","note.location","gene_name","Description","fc","log2.fc.","pval","qval","regulation","GO","KEGG","KO_ENTRY","EC","significant"
"134","immune function","ENSBTAG00000001945","immune/oxidative stress",""," mitochondria","ARG2","arginase 2 ",0.47,-1.07,0,0,"down","GO:0000050(urea cycle);GO:0001657(ureteric bud development);GO:0002829(negative regulation of type 2 immune response);GO:0004053(arginase activity);GO:0005737(cytoplasm);GO:0005739(mitochondrion);GO:0006525(arginine metabolic process);GO:0006941(striated muscle contraction);GO:0016787(hydrolase activity);GO:0016813(hydrolase activity, acting on carbon-nitrogen (but not peptide) bonds, in linear amidines);GO:0019547(arginine catabolic process to ornithine);GO:0030145(manganese ion binding);GO:0032720(negative regulation of tumor necrosis factor production);GO:0046872(metal ion binding);GO:0050706(regulation of interleukin-1 beta secretion);GO:0071641(negative regulation of macrophage inflammatory protein 1 alpha production);GO:0071644(negative regulation of chemokine (C-C motif) ligand 4 production);GO:0071650(negative regulation of chemokine (C-C motif) ligand 5 production);GO:1900425(negative regulation of defense response to bacterium);GO:1903426(regulation of reactive oxygen species biosynthetic process);GO:1904468(negative regulation of tumor necrosis factor secretion);GO:1905077(negative regulation of interleukin-17 secretion);GO:1905403(negative regulation of activated CD8-positive, alpha-beta T cell apoptotic process);GO:2000562(negative regulation of CD4-positive, alpha-beta T cell proliferation);GO:2000666(negative regulation of interleukin-13 secretion);GO:2000774(positive regulation of cellular senescence);GO:2000774(positive regulation of cellular senescence)","00220(Arginine biosynthesis);00330(Arginine and proline metabolism);05146(Amoebiasis);05146(Amoebiasis)","K01476","EC:3.5.3.1","yes"
"135","immune function","ENSBTAG00000008008","immune","","","TLR2","toll like receptor 2 ",0.31,-1.7,0,0,"down","GO:0001530(lipopolysaccharide binding);GO:0001540(amyloid-beta binding);GO:0001775(cell activation);GO:0002224(toll-like receptor signaling pathway);GO:0002237(response to molecule of bacterial origin);GO:0002374(cytokine secretion involved in immune response);GO:0002376(immune system process);GO:0002755(MyD88-dependent toll-like receptor signaling pathway);GO:0005515(protein binding);GO:0005737(cytoplasm);GO:0005794(Golgi apparatus);GO:0005886(plasma membrane);GO:0005887(integral component of plasma membrane);GO:0006954(inflammatory response);GO:0007165(signal transduction);GO:0007252(I-kappaB phosphorylation);GO:0008329(signaling pattern recognition receptor activity);GO:0009986(cell surface);GO:0010628(positive regulation of gene expression);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0030177(positive regulation of Wnt signaling pathway);GO:0031226(intrinsic component of plasma membrane);GO:0032613(interleukin-10 production);GO:0032722(positive regulation of chemokine production);GO:0032755(positive regulation of interleukin-6 production);GO:0032757(positive regulation of interleukin-8 production);GO:0034123(positive regulation of toll-like receptor signaling pathway);GO:0034134(toll-like receptor 2 signaling pathway);GO:0035325(Toll-like receptor binding);GO:0035354(Toll-like receptor 1-Toll-like receptor 2 protein complex);GO:0042495(detection of triacyl bacterial lipopeptide);GO:0042496(detection of diacyl bacterial lipopeptide);GO:0042497(triacyl lipopeptide binding);GO:0042802(identical protein binding);GO:0042834(peptidoglycan binding);GO:0044877(protein-containing complex binding);GO:0045087(innate immune response);GO:0045121(membrane raft);GO:0046982(protein heterodimerization activity);GO:0050707(regulation of cytokine secretion);GO:0050729(positive regulation of inflammatory response);GO:0050830(defense response to Gram-positive bacterium);GO:0051092(positive regulation of NF-kappaB transcription factor activity);GO:0071223(cellular response to lipoteichoic acid);GO:0071346(cellular response to interferon-gamma);GO:0071726(cellular response to diacyl bacterial lipopeptide);GO:0071727(cellular response to triacyl bacterial lipopeptide);GO:1901224(positive regulation of NIK/NF-kappaB signaling);GO:1903974(positive regulation of cellular response to macrophage colony-stimulating factor stimulus);GO:2000484(positive regulation of interleukin-8 secretion)","04145(Phagosome);04151(PI3K-Akt signaling pathway);04620(Toll-like receptor signaling pathway);05134(Legionellosis);05140(Leishmaniasis);05142(Chagas disease (American trypanosomiasis));05144(Malaria);05145(Toxoplasmosis);05146(Amoebiasis);05152(Tuberculosis);05161(Hepatitis B);05162(Measles);05168(Herpes simplex virus 1 infection);05169(Epstein-Barr virus infection);05170(Human immunodeficiency virus 1 infection);05205(Proteoglycans in cancer);05321(Inflammatory bowel disease (IBD));05323(Rheumatoid arthritis)","K10159",NA,"yes"
"136","immune function","ENSBTAG00000018571","immune response","","","IL1RL1","interleukin 1 receptor like 1 ",0.07,-3.85,0,0.01,"down","GO:0002826(negative regulation of T-helper 1 type immune response);GO:0004908(interleukin-1 receptor activity);GO:0005515(protein binding);GO:0007165(signal transduction);GO:0009897(external side of plasma membrane);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0019221(cytokine-mediated signaling pathway);GO:0032689(negative regulation of interferon-gamma production);GO:0032754(positive regulation of interleukin-5 production);GO:0043032(positive regulation of macrophage activation);GO:0050729(positive regulation of inflammatory response);GO:0090197(positive regulation of chemokine secretion);GO:0090197(positive regulation of chemokine secretion)","04060(Cytokine-cytokine receptor interaction);04060(Cytokine-cytokine receptor interaction)","K05171",NA,"yes"
"137","immune function","ENSBTAG00000025471","immune","proinflammatory cytokine","","TNF","tumor necrosis factor ",0,-8.59,0.01,0.02,"down","GO:0000122(negative regulation of transcription by RNA polymerase II);GO:0000165(MAPK cascade);GO:0000185(activation of MAPKKK activity);GO:0000187(activation of MAPK activity);GO:0001774(microglial cell activation);GO:0001819(positive regulation of cytokine production);GO:0001891(phagocytic cup);GO:0001932(regulation of protein phosphorylation);GO:0001934(positive regulation of protein phosphorylation);GO:0001937(negative regulation of endothelial cell proliferation);GO:0002020(protease binding);GO:0002439(chronic inflammatory response to antigenic stimulus);GO:0002532(production of molecular mediator involved in inflammatory response);GO:0002740(negative regulation of cytokine secretion involved in immune response);GO:0002876(positive regulation of chronic inflammatory response to antigenic stimulus);GO:0002925(positive regulation of humoral immune response mediated by circulating immunoglobulin);GO:0005125(cytokine activity);GO:0005164(tumor necrosis factor receptor binding);GO:0005515(protein binding);GO:0005576(extracellular region);GO:0005615(extracellular space);GO:0005886(plasma membrane);GO:0005887(integral component of plasma membrane);GO:0006006(glucose metabolic process);GO:0006919(activation of cysteine-type endopeptidase activity involved in apoptotic process);GO:0006952(defense response);GO:0006954(inflammatory response);GO:0006955(immune response);GO:0006959(humoral immune response);GO:0007254(JNK cascade);GO:0007275(multicellular organism development);GO:0008625(extrinsic apoptotic signaling pathway via death domain receptors);GO:0008630(intrinsic apoptotic signaling pathway in response to DNA damage);GO:0009615(response to virus);GO:0009887(animal organ morphogenesis);GO:0009897(external side of plasma membrane);GO:0009986(cell surface);GO:0010033(response to organic substance);GO:0010469(regulation of signaling receptor activity);GO:0010628(positive regulation of gene expression);GO:0010629(negative regulation of gene expression);GO:0010693(negative regulation of alkaline phosphatase activity);GO:0010756(positive regulation of plasminogen activation);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0030198(extracellular matrix organization);GO:0030316(osteoclast differentiation);GO:0030730(sequestering of triglyceride);GO:0030866(cortical actin cytoskeleton organization);GO:0031334(positive regulation of protein complex assembly);GO:0031622(positive regulation of fever generation);GO:0031663(lipopolysaccharide-mediated signaling pathway);GO:0032715(negative regulation of interleukin-6 production);GO:0032722(positive regulation of chemokine production);GO:0032729(positive regulation of interferon-gamma production);GO:0032755(positive regulation of interleukin-6 production);GO:0032757(positive regulation of interleukin-8 production);GO:0032800(receptor biosynthetic process);GO:0033138(positive regulation of peptidyl-serine phosphorylation);GO:0033209(tumor necrosis factor-mediated signaling pathway);GO:0034116(positive regulation of heterotypic cell-cell adhesion);GO:0035509(negative regulation of myosin-light-chain-phosphatase activity);GO:0042127(regulation of cell population proliferation);GO:0042742(defense response to bacterium);GO:0042802(identical protein binding);GO:0043065(positive regulation of apoptotic process);GO:0043068(positive regulation of programmed cell death);GO:0043122(regulation of I-kappaB kinase/NF-kappaB signaling);GO:0043123(positive regulation of I-kappaB kinase/NF-kappaB signaling);GO:0043242(negative regulation of protein complex disassembly);GO:0043243(positive regulation of protein complex disassembly);GO:0043280(positive regulation of cysteine-type endopeptidase activity involved in apoptotic process);GO:0043406(positive regulation of MAP kinase activity);GO:0043491(protein kinase B signaling);GO:0043507(positive regulation of JUN kinase activity);GO:0043525(positive regulation of neuron apoptotic process);GO:0044130(negative regulation of growth of symbiont in host);GO:0044212(transcription regulatory region DNA binding);GO:0045071(negative regulation of viral genome replication);GO:0045080(positive regulation of chemokine biosynthetic process);GO:0045121(membrane raft);GO:0045123(cellular extravasation);GO:0045416(positive regulation of interleukin-8 biosynthetic process);GO:0045429(positive regulation of nitric oxide biosynthetic process);GO:0045662(negative regulation of myoblast differentiation);GO:0045668(negative regulation of osteoblast differentiation);GO:0045670(regulation of osteoclast differentiation);GO:0045672(positive regulation of osteoclast differentiation);GO:0045732(positive regulation of protein catabolic process);GO:0045785(positive regulation of cell adhesion);GO:0045860(positive regulation of protein kinase activity);GO:0045892(negative regulation of transcription, DNA-templated);GO:0045893(positive regulation of transcription, DNA-templated);GO:0045930(negative regulation of mitotic cell cycle);GO:0045944(positive regulation of transcription by RNA polymerase II);GO:0045994(positive regulation of translational initiation by iron);GO:0046325(negative regulation of glucose import);GO:0046330(positive regulation of JNK cascade);GO:0048566(embryonic digestive tract development);GO:0048661(positive regulation of smooth muscle cell proliferation);GO:0050708(regulation of protein secretion);GO:0050715(positive regulation of cytokine secretion);GO:0050727(regulation of inflammatory response);GO:0050729(positive regulation of inflammatory response);GO:0050766(positive regulation of phagocytosis);GO:0050796(regulation of insulin secretion);GO:0050806(positive regulation of synaptic transmission);GO:0050807(regulation of synapse organization);GO:0050830(defense response to Gram-positive bacterium);GO:0050900(leukocyte migration);GO:0050901(leukocyte tethering or rolling);GO:0050995(negative regulation of lipid catabolic process);GO:0051023(regulation of immunoglobulin secretion);GO:0051044(positive regulation of membrane protein ectodomain proteolysis);GO:0051091(positive regulation of DNA-binding transcription factor activity);GO:0051092(positive regulation of NF-kappaB transcription factor activity);GO:0051222(positive regulation of protein transport);GO:0051384(response to glucocorticoid);GO:0051798(positive regulation of hair follicle development);GO:0051897(positive regulation of protein kinase B signaling);GO:0055037(recycling endosome);GO:0060252(positive regulation of glial cell proliferation);GO:0060557(positive regulation of vitamin D biosynthetic process);GO:0060559(positive regulation of calcidiol 1-monooxygenase activity);GO:0060664(epithelial cell proliferation involved in salivary gland morphogenesis);GO:0060693(regulation of branching involved in salivary gland morphogenesis);GO:0061048(negative regulation of branching involved in lung morphogenesis);GO:0070886(positive regulation of calcineurin-NFAT signaling cascade);GO:0071222(cellular response to lipopolysaccharide);GO:0071230(cellular response to amino acid stimulus);GO:0071316(cellular response to nicotine);GO:0071407(cellular response to organic cyclic compound);GO:0071803(positive regulation of podosome assembly);GO:0072577(endothelial cell apoptotic process);GO:0072659(protein localization to plasma membrane);GO:0090208(positive regulation of triglyceride metabolic process);GO:0097190(apoptotic signaling pathway);GO:0097191(extrinsic apoptotic signaling pathway);GO:0097527(necroptotic signaling pathway);GO:1901224(positive regulation of NIK/NF-kappaB signaling);GO:1901671(positive regulation of superoxide dismutase activity);GO:1903078(positive regulation of protein localization to plasma membrane);GO:1903140(regulation of establishment of endothelial barrier);GO:1903347(negative regulation of bicellular tight junction assembly);GO:1903488(negative regulation of lactation);GO:1904707(positive regulation of vascular smooth muscle cell proliferation);GO:1904996(positive regulation of leukocyte adhesion to vascular endothelial cell);GO:1904999(positive regulation of leukocyte adhesion to arterial endothelial cell);GO:2000010(positive regulation of protein localization to cell surface);GO:2000252(negative regulation of feeding behavior);GO:2000334(positive regulation of blood microparticle formation);GO:2000343(positive regulation of chemokine (C-X-C motif) ligand 2 production);GO:2000351(regulation of endothelial cell apoptotic process);GO:2000377(regulation of reactive oxygen species metabolic process);GO:2001240(negative regulation of extrinsic apoptotic signaling pathway in absence of ligand)","01523(Antifolate resistance);04010(MAPK signaling pathway);04060(Cytokine-cytokine receptor interaction);04064(NF-kappa B signaling pathway);04071(Sphingolipid signaling pathway);04150(mTOR signaling pathway);04210(Apoptosis);04217(Necroptosis);04350(TGF-beta signaling pathway);04380(Osteoclast differentiation);04612(Antigen processing and presentation);04620(Toll-like receptor signaling pathway);04621(NOD-like receptor signaling pathway);04622(RIG-I-like receptor signaling pathway);04625(C-type lectin receptor signaling pathway);04640(Hematopoietic cell lineage);04650(Natural killer cell mediated cytotoxicity);04657(IL-17 signaling pathway);04660(T cell receptor signaling pathway);04664(Fc epsilon RI signaling pathway);04668(TNF signaling pathway);04920(Adipocytokine signaling pathway);04930(Type II diabetes mellitus);04931(Insulin resistance);04932(Non-alcoholic fatty liver disease (NAFLD));04933(AGE-RAGE signaling pathway in diabetic complications);04940(Type I diabetes mellitus);05010(Alzheimer disease);05014(Amyotrophic lateral sclerosis (ALS));05133(Pertussis);05134(Legionellosis);05140(Leishmaniasis);05142(Chagas disease (American trypanosomiasis));05143(African trypanosomiasis);05144(Malaria);05145(Toxoplasmosis);05146(Amoebiasis);05152(Tuberculosis);05160(Hepatitis C);05161(Hepatitis B);05163(Human cytomegalovirus infection);05164(Influenza A);05165(Human papillomavirus infection);05166(Human T-cell leukemia virus 1 infection);05168(Herpes simplex virus 1 infection);05169(Epstein-Barr virus infection);05170(Human immunodeficiency virus 1 infection);05205(Proteoglycans in cancer);05310(Asthma);05321(Inflammatory bowel disease (IBD));05322(Systemic lupus erythematosus);05323(Rheumatoid arthritis);05330(Allograft rejection);05332(Graft-versus-host disease);05410(Hypertrophic cardiomyopathy (HCM));05414(Dilated cardiomyopathy (DCM));05418(Fluid shear stress and atherosclerosis)","K03156",NA,"yes"
"138","immune function","ENSBTAG00000007626","immune response","","","IL2RG","interleukin 2 receptor subunit gamma ",0,-8.79,0.02,0.06,"down","GO:0004896(cytokine receptor activity);GO:0005515(protein binding);GO:0005886(plasma membrane);GO:0009897(external side of plasma membrane);GO:0009986(cell surface);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0019955(cytokine binding);GO:0019976(interleukin-2 binding);GO:0035723(interleukin-15-mediated signaling pathway);GO:0042010(interleukin-15 receptor activity);GO:0043235(receptor complex);GO:0050766(positive regulation of phagocytosis);GO:0050766(positive regulation of phagocytosis)","04060(Cytokine-cytokine receptor interaction);04144(Endocytosis);04151(PI3K-Akt signaling pathway);04630(Jak-STAT signaling pathway);04658(Th1 and Th2 cell differentiation);04659(Th17 cell differentiation);05162(Measles);05166(Human T-cell leukemia virus 1 infection);05200(Pathways in cancer);05321(Inflammatory bowel disease (IBD));05340(Primary immunodeficiency);05340(Primary immunodeficiency)","K05070",NA,"yes"
"139","immune function","ENSBTAG00000040056","inflammation"," potent proinflammatory lipid mediator ","","LTB4R2","leukotriene B4 receptor 2 ",12.54,3.65,0,0,"up","GO:0001632(leukotriene B4 receptor activity);GO:0004930(G protein-coupled receptor activity);GO:0004966(galanin receptor activity);GO:0004974(leukotriene receptor activity);GO:0005654(nucleoplasm);GO:0005886(plasma membrane);GO:0005887(integral component of plasma membrane);GO:0006954(inflammatory response);GO:0007165(signal transduction);GO:0007186(G protein-coupled receptor signaling pathway);GO:0007218(neuropeptide signaling pathway);GO:0008528(G protein-coupled peptide receptor activity);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0051546(keratinocyte migration);GO:0061737(leukotriene signaling pathway)","04020(Calcium signaling pathway);04080(Neuroactive ligand-receptor interaction)","K04297",NA,"yes"
"140","immune function","ENSBTAG00000006694"," inflammation","involved in immunoregulatory and inflammatory processes","","CXCL14","C-X-C motif chemokine ligand 14 ",2.74,1.45,0,0,"up","GO:0005576(extracellular region);GO:0005794(Golgi apparatus);GO:0006955(immune response);GO:0008009(chemokine activity);GO:0045662(negative regulation of myoblast differentiation);GO:0048839(inner ear development);GO:0060326(cell chemotaxis);GO:2000503(positive regulation of natural killer cell chemotaxis)","04060(Cytokine-cytokine receptor interaction);04062(Chemokine signaling pathway)","K10033",NA,"yes"
"141","immune function","ENSBTAG00000001060"," inflammation","","","CXCR4","C-X-C motif chemokine receptor 4 ",2.4,1.26,0,0,"up","GO:0001666(response to hypoxia);GO:0003779(actin binding);GO:0004930(G protein-coupled receptor activity);GO:0004950(chemokine receptor activity);GO:0005764(lysosome);GO:0005768(endosome);GO:0005769(early endosome);GO:0005770(late endosome);GO:0005886(plasma membrane);GO:0006935(chemotaxis);GO:0006955(immune response);GO:0007165(signal transduction);GO:0007186(G protein-coupled receptor signaling pathway);GO:0007204(positive regulation of cytosolic calcium ion concentration);GO:0007420(brain development);GO:0009897(external side of plasma membrane);GO:0009986(cell surface);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0016493(C-C chemokine receptor activity);GO:0019722(calcium-mediated signaling);GO:0019955(cytokine binding);GO:0019956(chemokine binding);GO:0019957(C-C chemokine binding);GO:0022008(neurogenesis);GO:0030054(cell junction);GO:0030155(regulation of cell adhesion);GO:0031252(cell leading edge);GO:0031410(cytoplasmic vesicle);GO:0031625(ubiquitin protein ligase binding);GO:0032027(myosin light chain binding);GO:0032991(protein-containing complex);GO:0038147(C-X-C motif chemokine 12 receptor activity);GO:0038160(CXCL12-activated CXCR4 signaling pathway);GO:0043130(ubiquitin binding);GO:0050920(regulation of chemotaxis);GO:0060326(cell chemotaxis);GO:0071345(cellular response to cytokine stimulus)","04020(Calcium signaling pathway);04060(Cytokine-cytokine receptor interaction);04062(Chemokine signaling pathway);04144(Endocytosis);04360(Axon guidance);04670(Leukocyte transendothelial migration);04672(Intestinal immune network for IgA production);04810(Regulation of actin cytoskeleton);05163(Human cytomegalovirus infection);05170(Human immunodeficiency virus 1 infection);05200(Pathways in cancer)","K04189",NA,"yes"
"142","immune function","ENSBTAG00000015483","inflammation","Chemokine CC receptors (CCRs) predominantly recognize CC chemokines","","CCR8","C-C motif chemokine receptor 8 ",0.42,-1.24,0.03,0.08,"down","GO:0004930(G protein-coupled receptor activity);GO:0004950(chemokine receptor activity);GO:0006935(chemotaxis);GO:0006955(immune response);GO:0007165(signal transduction);GO:0007186(G protein-coupled receptor signaling pathway);GO:0007204(positive regulation of cytosolic calcium ion concentration);GO:0009897(external side of plasma membrane);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0016493(C-C chemokine receptor activity);GO:0019722(calcium-mediated signaling);GO:0019956(chemokine binding);GO:0019957(C-C chemokine binding);GO:0060326(cell chemotaxis);GO:0070098(chemokine-mediated signaling pathway)","04060(Cytokine-cytokine receptor interaction);04062(Chemokine signaling pathway);05167(Kaposi sarcoma-associated herpesvirus infection);05203(Viral carcinogenesis)","K04183",NA,"yes"
"143","immune function","ENSBTAG00000037558","inflammation","","","GRO1","chemokine (C-X-C motif) ligand 1 (melanoma growth stimulating activity, alpha) ",0.4,-1.32,0,0,"down","GO:0005125(cytokine activity);GO:0005576(extracellular region);GO:0005615(extracellular space);GO:0006935(chemotaxis);GO:0006952(defense response);GO:0006954(inflammatory response);GO:0006955(immune response);GO:0008009(chemokine activity);GO:0008083(growth factor activity);GO:0010469(regulation of signaling receptor activity);GO:0030593(neutrophil chemotaxis);GO:0030595(leukocyte chemotaxis);GO:0061844(antimicrobial humoral immune response mediated by antimicrobial peptide);GO:0070098(chemokine-mediated signaling pathway);GO:0071222(cellular response to lipopolysaccharide)","04060(Cytokine-cytokine receptor interaction);04062(Chemokine signaling pathway);04621(NOD-like receptor signaling pathway);04657(IL-17 signaling pathway);04668(TNF signaling pathway);05132(Salmonella infection);05134(Legionellosis);05167(Kaposi sarcoma-associated herpesvirus infection)","K05505",NA,"yes"
"144","immune function","ENSBTAG00000009812"," inflammation","Involved in neutrophil activation","","CXCL5","chemokine (C-X-C motif) ligand 5 ",0.36,-1.45,0,0,"down","GO:0005125(cytokine activity);GO:0005576(extracellular region);GO:0005615(extracellular space);GO:0006935(chemotaxis);GO:0006952(defense response);GO:0006954(inflammatory response);GO:0006955(immune response);GO:0008009(chemokine activity);GO:0008201(heparin binding);GO:0010469(regulation of signaling receptor activity);GO:0030593(neutrophil chemotaxis);GO:0030595(leukocyte chemotaxis);GO:0042119(neutrophil activation);GO:0042742(defense response to bacterium);GO:0061844(antimicrobial humoral immune response mediated by antimicrobial peptide);GO:0070098(chemokine-mediated signaling pathway);GO:0071222(cellular response to lipopolysaccharide)","04060(Cytokine-cytokine receptor interaction);04062(Chemokine signaling pathway);04657(IL-17 signaling pathway);05133(Pertussis);05323(Rheumatoid arthritis)","K05506",NA,"yes"
"145","immune function","ENSBTAG00000021326","inflammation","This antimicrobial gene belongs to the subfamily of small cytokine CC genes","","CCL20","C-C motif chemokine ligand 20 ",0.21,-2.28,0.05,0.11,"down","GO:0002548(monocyte chemotaxis);GO:0005125(cytokine activity);GO:0005576(extracellular region);GO:0005615(extracellular space);GO:0006935(chemotaxis);GO:0006954(inflammatory response);GO:0006955(immune response);GO:0007186(G protein-coupled receptor signaling pathway);GO:0008009(chemokine activity);GO:0010469(regulation of signaling receptor activity);GO:0030593(neutrophil chemotaxis);GO:0031731(CCR6 chemokine receptor binding);GO:0035584(calcium-mediated signaling using intracellular calcium source);GO:0043547(positive regulation of GTPase activity);GO:0048020(CCR chemokine receptor binding);GO:0048247(lymphocyte chemotaxis);GO:0060326(cell chemotaxis);GO:0070098(chemokine-mediated signaling pathway);GO:0070374(positive regulation of ERK1 and ERK2 cascade);GO:0071346(cellular response to interferon-gamma);GO:0071347(cellular response to interleukin-1);GO:0071356(cellular response to tumor necrosis factor);GO:0072678(T cell migration);GO:0072679(thymocyte migration);GO:2000406(positive regulation of T cell migration)","04060(Cytokine-cytokine receptor interaction);04062(Chemokine signaling pathway);04657(IL-17 signaling pathway);04668(TNF signaling pathway);05323(Rheumatoid arthritis)","K14625",NA,"yes"
"146","immune function","ENSBTAG00000019716","inflammation","a major mediator of the inflammatory response.","","CXCL8","C-X-C motif chemokine ligand 8 ",0.13,-2.96,0,0.01,"down","GO:0002237(response to molecule of bacterial origin);GO:0005125(cytokine activity);GO:0005153(interleukin-8 receptor binding);GO:0005576(extracellular region);GO:0005615(extracellular space);GO:0006935(chemotaxis);GO:0006952(defense response);GO:0006954(inflammatory response);GO:0006955(immune response);GO:0007050(cell cycle arrest);GO:0008009(chemokine activity);GO:0010469(regulation of signaling receptor activity);GO:0030155(regulation of cell adhesion);GO:0030593(neutrophil chemotaxis);GO:0030595(leukocyte chemotaxis);GO:0031623(receptor internalization);GO:0034976(response to endoplasmic reticulum stress);GO:0035556(intracellular signal transduction);GO:0042119(neutrophil activation);GO:0044344(cellular response to fibroblast growth factor stimulus);GO:0045091(regulation of single stranded viral RNA replication via double stranded DNA intermediate);GO:0045744(negative regulation of G protein-coupled receptor signaling pathway);GO:0045766(positive regulation of angiogenesis);GO:0048566(embryonic digestive tract development);GO:0050930(induction of positive chemotaxis);GO:0061844(antimicrobial humoral immune response mediated by antimicrobial peptide);GO:0070098(chemokine-mediated signaling pathway);GO:0071222(cellular response to lipopolysaccharide);GO:0071347(cellular response to interleukin-1);GO:0071356(cellular response to tumor necrosis factor);GO:2000535(regulation of entry of bacterium into host cell)","04060(Cytokine-cytokine receptor interaction);04062(Chemokine signaling pathway);04064(NF-kappa B signaling pathway);04072(Phospholipase D signaling pathway);04218(Cellular senescence);04620(Toll-like receptor signaling pathway);04621(NOD-like receptor signaling pathway);04622(RIG-I-like receptor signaling pathway);04657(IL-17 signaling pathway);04932(Non-alcoholic fatty liver disease (NAFLD));04933(AGE-RAGE signaling pathway in diabetic complications);05132(Salmonella infection);05133(Pertussis);05134(Legionellosis);05142(Chagas disease (American trypanosomiasis));05144(Malaria);05146(Amoebiasis);05161(Hepatitis B);05163(Human cytomegalovirus infection);05164(Influenza A);05167(Kaposi sarcoma-associated herpesvirus infection);05200(Pathways in cancer);05202(Transcriptional misregulation in cancer);05219(Bladder cancer);05323(Rheumatoid arthritis)","K10030",NA,"yes"
"147","immune function","ENSBTAG00000024869","inflammation","","","CX3CL1","C-X3-C motif chemokine ligand 1 ",0.13,-2.96,0,0.01,"down","GO:0002548(monocyte chemotaxis);GO:0005576(extracellular region);GO:0005615(extracellular space);GO:0006954(inflammatory response);GO:0006955(immune response);GO:0007186(G protein-coupled receptor signaling pathway);GO:0008009(chemokine activity);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0019221(cytokine-mediated signaling pathway);GO:0030593(neutrophil chemotaxis);GO:0043547(positive regulation of GTPase activity);GO:0048020(CCR chemokine receptor binding);GO:0048245(eosinophil chemotaxis);GO:0048247(lymphocyte chemotaxis);GO:0050902(leukocyte adhesive activation);GO:0060326(cell chemotaxis);GO:0070098(chemokine-mediated signaling pathway);GO:0070374(positive regulation of ERK1 and ERK2 cascade);GO:0071346(cellular response to interferon-gamma);GO:0071347(cellular response to interleukin-1);GO:0071356(cellular response to tumor necrosis factor)","04060(Cytokine-cytokine receptor interaction);04062(Chemokine signaling pathway);04668(TNF signaling pathway);05163(Human cytomegalovirus infection)","K05508",NA,"yes"
"151","Others","ENSBTAG00000019453","redox/hormone"," glutathione-dependent prostaglandin E synthase","","PTGES","prostaglandin E synthase ",13.31,3.73,0,0,"up","GO:0001516(prostaglandin biosynthetic process);GO:0004364(glutathione transferase activity);GO:0005641(nuclear envelope lumen);GO:0005737(cytoplasm);GO:0005739(mitochondrion);GO:0006629(lipid metabolic process);GO:0006631(fatty acid metabolic process);GO:0006633(fatty acid biosynthetic process);GO:0006693(prostaglandin metabolic process);GO:0006749(glutathione metabolic process);GO:0008285(negative regulation of cell population proliferation);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0016853(isomerase activity);GO:0043295(glutathione binding);GO:0050220(prostaglandin-E synthase activity);GO:0055114(oxidation-reduction process);GO:0071347(cellular response to interleukin-1)","00590(Arachidonic acid metabolism)","K15729","EC:5.3.99.3","yes"
